,FROM STATION ID,FROM STATION NAME,FROM LONGITUDE,FROM LATITUDE
523,159,Claremont Ave & Hirsch St,-87.685854,41.907781
528,494,Kedzie Ave & Bryn Mawr Ave,-87.70892252,41.982397085
534,285,Wood St & Grand Ave,-87.67203,41.89113
551,178,State St & 19th St,-87.627542,41.856594
552,365,Halsted St & North Branch St,-87.648479875,41.899368439
553,500,Central Park Ave & Elbridge Ave,-87.716889294,41.935337283
558,366,Loomis St & Archer Ave,-87.65743495299999,41.84163254
562,213,Leavitt St & North Ave,-87.68229000000001,41.910153
575,129,Blue Island Ave & 18th St,-87.661535,41.857556
578,23,Orleans St & Elm St (*),-87.637715,41.902924
582,471,Francisco Ave & Foster Ave,-87.70141943899999,41.975632725
584,287,Franklin St & Monroe St,-87.63518499999999,41.880317
592,268,Lake Shore Dr & North Blvd,-87.626804,41.911722
593,27,Larrabee St & North Ave,-87.6435,41.91021
596,108,Halsted St & Polk St,-87.64664,41.87184
606,158,Milwaukee Ave & Wabansia Ave,-87.681391,41.912616
618,299,Halsted St & Roscoe St,-87.64895,41.943670000000004
634,313,Lakeview Ave & Fullerton Pkwy,-87.638973,41.925858000000005
639,58,Marshfield Ave & Cortland St,-87.668879,41.916017
642,401,Shields Ave & 28th Pl,-87.635491,41.842733
648,205,Paulina St & 18th St,-87.668745,41.857901
650,25,Michigan Ave & Pearson St,-87.62351,41.897659999999995
657,170,Clinton St & 18th St,-87.640826,41.85795
661,173,Mies van der Rohe Way & Chicago Ave,-87.62174300000001,41.89691
664,339,Emerald Ave & 31st St,-87.645143,41.838198
665,329,Lake Shore Dr & Diversey Pkwy,-87.63625,41.932684
671,35,Streeter Dr & Grand Ave,-87.6122,41.891071000000004
680,403,Wentworth Ave & 33rd St,-87.631822981,41.834529886
690,202,Halsted St & 18th St,-87.646277,41.857499
692,112,Green St & Randolph St,-87.64867,41.883668
697,463,Clark St & Berwyn Ave,-87.668047105,41.977996654
708,172,Rush St & Cedar St,-87.62769052799999,41.902308700999995
714,247,Shore Dr & 55th St,-87.580715,41.795212
715,476,Kedzie Ave & Leland Ave,-87.708051981,41.966686362
732,256,Broadway & Sheridan Rd,-87.64999300000001,41.952833
746,126,Clark St & North Ave,-87.63194200000001,41.911974
750,507,Humboldt Blvd & Armitage Ave,-87.70180895600001,41.917513394000004
753,164,Franklin St & Lake St,-87.6355,41.885837
768,309,Leavitt St & Armitage Ave,-87.682437,41.917805
769,274,Racine Ave & 15th St,-87.656625,41.861267
812,229,Southport Ave & Roscoe St,-87.66402,41.943739
814,39,Wabash Ave & Adams St,-87.625688606,41.879472352
816,314,Ravenswood Ave & Berteau Ave,-87.673567,41.957921
817,318,Southport Ave & Irving Park Rd,-87.664358,41.954177
830,411,Halsted St & 47th Pl,-87.645616554,41.808133915
834,420,Ellis Ave & 55th St,-87.601449773,41.794300621
859,272,Indiana Ave & 31st St,-87.62185699999999,41.838842
884,275,Ashland Ave & 13th St,-87.666507,41.865234
